0,1,2
-46.524258,-56.223747,normal
-39.200024,84.63636,normal
-2.732915,-101.91211,normal
84.94021,-34.318295,normal
-37.481564,-80.32671,normal
-31.75274,-30.272665,normal
28.188416,-8.303556,normal
94.109795,10.349452,normal
-89.0391,-31.902575,normal
-39.859257,-52.709827,normal
-49.90473,17.819187,normal
-29.42571,35.66304,normal
-4.4617367,-80.364555,normal
38.963135,-63.326042,normal
-41.132275,-86.3075,normal
53.490448,-3.1004565,normal
-99.27153,-0.4061587,normal
-0.13244976,-32.356518,normal
19.365913,26.53854,normal
71.5162,-63.82077,normal
20.336721,-59.9393,normal
65.18175,-5.806768,normal
-16.051361,48.470947,normal
-50.631268,9.070258,normal
-19.962362,44.234657,normal
-57.03734,18.682564,normal
-88.352005,-29.590708,normal
91.008934,16.649685,normal
18.398771,58.106426,normal
-9.976351,-10.659128,normal
-35.17935,-78.01984,normal
26.345018,-17.569708,normal
93.87796,-13.854272,normal
2.129599,48.79947,normal
95.91717,-13.501334,normal
-61.67581,-48.847733,normal
-71.03776,37.6743,normal
20.318792,91.70298,normal
-50.49269,14.900911,normal
-59.886242,46.288403,normal
-56.446674,-10.286136,normal
9.908651,45.46248,normal
-43.52399,70.69865,normal
40.40178,71.18317,normal
-15.69718,-9.657918,normal
33.76397,-35.735638,normal
41.95877,79.35795,normal
-18.159111,80.94339,normal
-10.848329,8.9369955,normal
93.62568,-46.437904,normal
-29.614586,81.798515,normal
-62.94513,20.730684,normal
-22.014986,-22.639486,normal
87.809784,43.79457,normal
-33.24919,-75.495186,normal
3.0994194,-36.700413,normal
-28.208328,-70.27435,normal
46.654995,-48.88664,normal
25.156712,27.045805,normal
-28.031162,81.3151,normal
91.40971,19.546324,normal
-8.762298,8.93954,normal
-73.85609,-33.52998,normal
-62.874462,20.749374,normal
15.608219,35.97198,normal
-29.538033,62.232258,normal
14.714312,27.019567,normal
-38.043343,56.96492,normal
28.527422,-103.40189,normal
68.46912,-11.854749,normal
-49.97867,35.054214,normal
56.31162,-15.411037,normal
22.646532,-91.623146,normal
40.280388,3.5100045,normal
86.47558,45.11704,normal
13.441279,41.67124,normal
